name,time,xmin,ymin,xmax,ymax,confidence,class
EunhangIntersection,2023-08-07 10:32:36.969666,268.7524719238281,150.42013549804688,315.7847595214844,181.37564086914062,0.7662605047225952,2
EunhangIntersection,2023-08-07 10:32:36.969666,222.2232666015625,63.09865188598633,268.8234558105469,114.19312286376953,0.6931231021881104,5
EunhangIntersection,2023-08-07 10:32:36.969666,287.83062744140625,85.27079010009766,318.84344482421875,112.5069808959961,0.6659694910049438,2
EunhangIntersection,2023-08-07 10:32:36.969666,2.1000070571899414,182.63621520996094,69.49546813964844,215.41676330566406,0.6541229486465454,2
EunhangIntersection,2023-08-07 10:32:36.969666,368.7639465332031,75.82217407226562,451.8656921386719,136.093505859375,0.6016347408294678,7
EunhangIntersection,2023-08-07 10:32:36.969666,221.1193389892578,62.445552825927734,269.83599853515625,113.32270050048828,0.5903738737106323,7
EunhangIntersection,2023-08-07 10:32:36.969666,377.42401123046875,25.183773040771484,397.5589294433594,42.51123046875,0.515186607837677,2
EunhangIntersection,2023-08-07 10:32:36.969666,358.51409912109375,37.1982307434082,378.89288330078125,54.728759765625,0.5053133964538574,2
EunhangIntersection,2023-08-07 10:32:36.969666,301.8199462890625,42.89045715332031,325.2828063964844,63.963890075683594,0.48454299569129944,2
EunhangIntersection,2023-08-07 10:32:36.969666,287.9321594238281,64.1741943359375,318.6036376953125,86.43171691894531,0.3632407784461975,2
EunhangIntersection,2023-08-07 10:32:36.969666,286.6342468261719,73.54300689697266,317.9814147949219,102.56942749023438,0.3518201410770416,2
EunhangIntersection,2023-08-07 10:32:36.969666,319.79486083984375,71.79646301269531,349.7508850097656,92.4941635131836,0.3456324338912964,2
EunhangIntersection,2023-08-07 10:32:36.969666,269.7469482421875,62.26284408569336,299.2349853515625,84.52054595947266,0.30693528056144714,2
EunhangIntersection,2023-08-07 10:32:36.969666,318.0539245605469,43.302490234375,344.9584045410156,67.19789123535156,0.27583250403404236,2
EunhangIntersection,2023-08-07 10:32:36.969666,250.34246826171875,84.02569580078125,289.65478515625,114.86333465576172,0.26390451192855835,7
