camera_name,time,class,name,action
EunhangIntersection,2023-08-11 11:38:31.921430,5,bus,NaN
EunhangIntersection,2023-08-11 11:38:31.921430,2,car,NaN
EunhangIntersection,2023-08-11 11:38:31.921430,2,car,NaN
EunhangIntersection,2023-08-11 11:38:31.921430,2,car,NaN
EunhangIntersection,2023-08-11 11:38:31.921430,2,car,NaN
EunhangIntersection,2023-08-11 11:38:31.921430,2,car,NaN
EunhangIntersection,2023-08-11 11:38:31.921430,9,traffic light,NaN
EunhangIntersection,2023-08-11 11:38:31.921430,0,person,person detected
EunhangIntersection,2023-08-11 11:38:31.921430,9,traffic light,NaN
EunhangIntersection,2023-08-11 11:38:31.921430,2,car,NaN
EunhangIntersection,2023-08-11 11:38:31.921430,2,car,NaN
EunhangIntersection,2023-08-11 11:38:31.921430,9,traffic light,NaN
EunhangIntersection,2023-08-11 11:38:31.921430,0,person,person detected
EunhangIntersection,2023-08-11 11:38:31.921430,9,traffic light,NaN
